family	group	method	percent_ref	avg_BS
family_78	group5 len = 82	Supermatrix-ME	0.974666666666667	0.740166666666667
family_79	group5 len = 82	Supermatrix-ME	0.938333333333333	0.64490625
family_80	group5 len = 82	Supermatrix-ME	0.662333333333333	0.495458333333333
family_81	group5 len = 82	Supermatrix-ME	0.803333333333333	0.545947916666667
family_82	group5 len = 82	Supermatrix-ME	0.733666666666667	0.486895833333333
family_83	group5 len = 82	Supermatrix-ME	0.767	0.60315625
family_84	group5 len = 82	Supermatrix-ME	0.866333333333333	0.651895833333333
family_85	group5 len = 82	Supermatrix-ME	0.811666666666667	0.618510416666667
family_86	group5 len = 82	Supermatrix-ME	0.783	0.617635416666667
family_87	group5 len = 82	Supermatrix-ME	0.841333333333333	0.6214375
family_88	group5 len = 82	Supermatrix-ME	0.850666666666667	0.6884375
family_89	group5 len = 82	Supermatrix-ME	0.799	0.695864583333333
family_90	group5 len = 82	Supermatrix-ME	0.715666666666667	0.518010416666667
family_91	group5 len = 82	Supermatrix-ME	0.825666666666667	0.657510416666667
family_92	group5 len = 82	Supermatrix-ME	0.900333333333333	0.773697916666667
family_93	group5 len = 82	Supermatrix-ME	0.937	0.717583333333333
family_94	group5 len = 82	Supermatrix-ME	0.879	0.7296875
family_95	group5 len = 82	Supermatrix-ME	0.732	0.548822916666667
family_96	group5 len = 82	Supermatrix-ME	0.833	0.58190625
family_97	group5 len = 82	Supermatrix-ME	0.967666666666667	0.79853125
family_98	group5 len = 82	Supermatrix-ME	0.684333333333333	0.4871875
family_99	group5 len = 82	Supermatrix-ME	0.825333333333333	0.690447916666667
family_100	group5 len = 82	Supermatrix-ME	0.865333333333333	0.6465625
family_101	group4 len = 60	Supermatrix-ME	0.784666666666667	0.632010416666667
family_102	group4 len = 60	Supermatrix-ME	0.619666666666667	0.600385416666667
family_103	group4 len = 60	Supermatrix-ME	0.675	0.52996875
family_104	group4 len = 60	Supermatrix-ME	0.577333333333333	0.443322916666667
family_105	group4 len = 60	Supermatrix-ME	0.900666666666667	0.69003125
family_106	group4 len = 60	Supermatrix-ME	0.783	0.542729166666667
family_107	group4 len = 60	Supermatrix-ME	0.751666666666667	0.503760416666667
family_108	group4 len = 60	Supermatrix-ME	0.859666666666667	0.619833333333333
family_109	group4 len = 60	Supermatrix-ME	0.896	0.62103125
family_110	group4 len = 60	Supermatrix-ME	0.696333333333333	0.405020833333333
family_111	group4 len = 60	Supermatrix-ME	0.886666666666667	0.508885416666667
family_112	group4 len = 60	Supermatrix-ME	0.763333333333333	0.572854166666667
family_113	group4 len = 60	Supermatrix-ME	0.759	0.58890625
family_114	group4 len = 60	Supermatrix-ME	0.874333333333333	0.530947916666667
family_115	group4 len = 60	Supermatrix-ME	0.793333333333333	0.596604166666667
family_116	group4 len = 60	Supermatrix-ME	0.942666666666667	0.639760416666667
family_117	group4 len = 60	Supermatrix-ME	0.684333333333333	0.6996875
family_118	group4 len = 60	Supermatrix-ME	0.751	0.553739583333333
family_119	group4 len = 60	Supermatrix-ME	0.813	0.542739583333333
family_120	group4 len = 60	Supermatrix-ME	0.276	0.527958333333333
family_121	group4 len = 60	Supermatrix-ME	0.850333333333333	0.645875
family_122	group4 len = 60	Supermatrix-ME	0.816333333333333	0.597239583333333
family_123	group4 len = 60	Supermatrix-ME	0.846333333333333	0.633239583333333
family_124	group4 len = 60	Supermatrix-ME	0.881333333333333	0.58909375
family_125	group4 len = 60	Supermatrix-ME	0.776666666666667	0.516395833333333
family_126	group4 len = 60	Supermatrix-ME	0.847333333333333	0.620958333333333
family_127	group4 len = 60	Supermatrix-ME	0.810666666666667	0.581927083333333
family_128	group4 len = 60	Supermatrix-ME	0.813666666666667	0.686354166666667
family_129	group4 len = 60	Supermatrix-ME	0.782	0.538427083333333
family_130	group4 len = 60	Supermatrix-ME	0.517	0.4985
family_131	group4 len = 60	Supermatrix-ME	0.662	0.40840625
family_132	group4 len = 60	Supermatrix-ME	0.811333333333333	0.4866875
family_133	group4 len = 60	Supermatrix-ME	0.62	0.592114583333333
family_134	group4 len = 60	Supermatrix-ME	0.655	0.573729166666667
family_135	group4 len = 60	Supermatrix-ME	0.731333333333333	0.581291666666667
family_136	group4 len = 60	Supermatrix-ME	0.587333333333333	0.468885416666667
family_137	group4 len = 60	Supermatrix-ME	0.92	0.602864583333333
