swap_species	2	3	4	5	6	7	8	9	10	15
1	0.154 ± 0.107	0.151 ± 0.105	0.153 ± 0.104	0.153 ± 0.104	0.155 ± 0.103	0.148 ± 0.101	0.149 ± 0.103	0.155 ± 0.108	0.155 ± 0.108	NA
2	0.153 ± 0.108	0.154 ± 0.105	0.16 ± 0.108	0.155 ± 0.109	0.152 ± 0.108	0.156 ± 0.108	0.153 ± 0.1	0.157 ± 0.103	0.155 ± 0.106	NA
3	0.155 ± 0.103	0.153 ± 0.111	0.149 ± 0.104	0.155 ± 0.105	0.161 ± 0.107	0.154 ± 0.099	0.148 ± 0.105	0.154 ± 0.105	0.153 ± 0.108	NA
4	0.158 ± 0.11	0.154 ± 0.106	0.151 ± 0.101	0.153 ± 0.103	0.152 ± 0.104	0.148 ± 0.108	0.15 ± 0.102	0.156 ± 0.103	0.15 ± 0.105	NA
5	0.15 ± 0.104	0.156 ± 0.104	0.154 ± 0.105	0.157 ± 0.101	0.153 ± 0.107	0.154 ± 0.105	0.149 ± 0.106	0.153 ± 0.107	0.156 ± 0.108	NA
6	0.15 ± 0.102	0.154 ± 0.104	0.162 ± 0.112	0.158 ± 0.102	0.148 ± 0.097	0.15 ± 0.098	0.15 ± 0.102	0.163 ± 0.104	0.15 ± 0.098	NA
7	0.156 ± 0.108	0.161 ± 0.102	0.155 ± 0.103	0.156 ± 0.107	0.153 ± 0.104	0.16 ± 0.109	0.157 ± 0.103	0.153 ± 0.105	0.156 ± 0.11	NA
8	0.154 ± 0.098	0.159 ± 0.109	0.159 ± 0.1	0.155 ± 0.101	0.153 ± 0.102	0.154 ± 0.099	0.159 ± 0.103	0.157 ± 0.103	0.151 ± 0.096	NA
9	0.151 ± 0.103	0.157 ± 0.103	0.153 ± 0.098	0.159 ± 0.102	0.158 ± 0.102	0.159 ± 0.108	0.168 ± 0.105	0.151 ± 0.099	0.163 ± 0.109	NA
10	0.151 ± 0.115	0.153 ± 0.098	0.154 ± 0.111	0.157 ± 0.103	0.159 ± 0.106	0.15 ± 0.103	0.158 ± 0.101	0.152 ± 0.101	0.164 ± 0.116	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.445 ± 0.165	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.976 ± 0.046
