method unit mean_rf_val sd_rf_val
SM_ME 1 0.481377311082546 0.220779617256508
SM_ME 2 0.425274947055524 0.218368712020069
SM_ME 3 0.394347690050164 0.219255242461423
SM_ME 4 0.368890947098518 0.223399746621729
SM_ME 5 0.35000121227697 0.227397256659089
SM_ME 6 0.341352187645917 0.226356075348308
ST_ME 1 0.481377311082546 0.220779617256508
ST_ME 2 0.455819300663882 0.225699072913426
ST_ME 3 0.422080094446102 0.222570410644653
ST_ME 4 0.401375939560452 0.225014454040814
ST_ME 5 0.38960590155731 0.224157508813404
ST_ME 6 0.377111981733844 0.226290828721535
