swap_species	2	3	4	5	6	7	8	9	10	15
1	0.204 ± 0.142	0.205 ± 0.138	0.207 ± 0.138	0.2 ± 0.142	0.2 ± 0.143	0.202 ± 0.141	0.204 ± 0.142	0.2 ± 0.145	0.203 ± 0.143	NA
2	0.204 ± 0.142	0.204 ± 0.139	0.205 ± 0.14	0.206 ± 0.145	0.207 ± 0.141	0.208 ± 0.142	0.205 ± 0.14	0.202 ± 0.143	0.205 ± 0.143	NA
3	0.203 ± 0.145	0.204 ± 0.143	0.206 ± 0.143	0.198 ± 0.136	0.204 ± 0.141	0.195 ± 0.134	0.204 ± 0.141	0.202 ± 0.141	0.21 ± 0.143	NA
4	0.203 ± 0.145	0.202 ± 0.141	0.206 ± 0.145	0.203 ± 0.14	0.208 ± 0.141	0.203 ± 0.142	0.205 ± 0.133	0.202 ± 0.139	0.208 ± 0.143	NA
5	0.2 ± 0.143	0.204 ± 0.138	0.207 ± 0.142	0.205 ± 0.14	0.204 ± 0.141	0.202 ± 0.138	0.203 ± 0.138	0.202 ± 0.138	0.203 ± 0.131	NA
6	0.205 ± 0.14	0.203 ± 0.138	0.203 ± 0.138	0.208 ± 0.144	0.201 ± 0.143	0.203 ± 0.143	0.203 ± 0.141	0.205 ± 0.139	0.203 ± 0.131	NA
7	0.201 ± 0.134	0.201 ± 0.138	0.206 ± 0.139	0.201 ± 0.145	0.208 ± 0.142	0.206 ± 0.143	0.206 ± 0.14	0.206 ± 0.137	0.196 ± 0.145	NA
8	0.2 ± 0.14	0.203 ± 0.141	0.203 ± 0.146	0.202 ± 0.14	0.213 ± 0.142	0.203 ± 0.138	0.213 ± 0.142	0.206 ± 0.137	0.206 ± 0.142	NA
9	0.202 ± 0.137	0.203 ± 0.137	0.203 ± 0.14	0.203 ± 0.145	0.203 ± 0.134	0.2 ± 0.137	0.196 ± 0.133	0.207 ± 0.137	0.22 ± 0.139	NA
10	0.203 ± 0.142	0.203 ± 0.136	0.206 ± 0.14	0.209 ± 0.135	0.203 ± 0.14	0.214 ± 0.135	0.203 ± 0.136	0.212 ± 0.134	0.204 ± 0.136	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.464 ± 0.173	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.977 ± 0.041
