Row_Name	group1_BS	group1_ref	group2_BS	group2_ref	group3_BS	group3_ref	group4_BS	group4_ref	group5_BS	group5_ref
0<BS<=0.1	479	27.5574112734864 %	245	23.6734693877551 %	266	24.812030075188 %	93	50.5376344086022 %	45	51.1111111111111 %
0.1<BS<=0.2	1043	40.4602109300096 %	677	41.3589364844904 %	522	37.1647509578544 %	359	47.6323119777159 %	156	53.8461538461538 %
0.2<BS<=0.3	1456	54.3269230769231 %	1172	55.80204778157 %	912	53.2894736842105 %	723	56.0165975103734 %	382	59.4240837696335 %
0.3<BS<=0.4	1638	63.4920634920635 %	1648	63.1674757281553 %	1378	64.0783744557329 %	1133	65.7546337157988 %	726	63.7741046831956 %
0.4<BS<=0.5	2208	74.6829710144928 %	2278	74.9780509218613 %	2060	75.4368932038835 %	1971	75.3932014205987 %	1525	72.2622950819672 %
0.5<BS<=0.6	1532	83.6161879895561 %	1463	85.7142857142857 %	1527	83.4970530451866 %	1556	86.5038560411311 %	1265	81.897233201581 %
0.6<BS<=0.7	1302	90.7834101382488 %	1319	92.7217589082638 %	1493	91.158740790355 %	1571	93.0617441120306 %	1435	92.1254355400697 %
0.7<BS<=0.8	1061	96.3242224316682 %	1217	96.3845521774856 %	1377	94.2628903413217 %	1591	97.5487115021999 %	1645	97.1428571428571 %
0.8<BS<=0.9	812	98.7684729064039 %	1019	98.9205103042198 %	1230	98.3739837398374 %	1454	99.2434662998624 %	1935	99.7416020671835 %
0.9<BS<=1	469	100 %	962	99.8960498960499 %	1235	99.8380566801619 %	1549	99.6126533247256 %	2886	99.96534996535 %
