Row_Name	group1_BS	group1_ref	group2_BS	group2_ref	group3_BS	group3_ref	group4_BS	group4_ref	group5_BS	group5_ref
0<BS<=0.1	1176	10.0340136054422 %	908	11.3436123348018 %	750	9.2 %	683	12.8843338213763 %	415	13.7349397590361 %
0.1<BS<=0.2	1527	16.83038637852 %	1365	18.6080586080586 %	1267	19.0213101815312 %	1012	20.4545454545455 %	714	21.7086834733894 %
0.2<BS<=0.3	1711	24.8392752776154 %	1592	27.9522613065327 %	1549	28.921885087153 %	1336	31.811377245509 %	1038	33.6223506743738 %
0.3<BS<=0.4	1672	34.3301435406699 %	1627	38.1069452980947 %	1589	36.6897419760856 %	1478	39.7834912043302 %	1296	43.75 %
0.4<BS<=0.5	2004	45.6586826347305 %	1911	48.8749345892203 %	1998	52.4524524524524 %	2012	52.4353876739563 %	1886	55.6203605514316 %
0.5<BS<=0.6	1179	57.167090754877 %	1290	58.1395348837209 %	1359	62.766740250184 %	1321	65.329295987888 %	1313	69.4592536176695 %
0.6<BS<=0.7	956	65.7949790794979 %	1006	71.7693836978131 %	1052	70.0570342205323 %	1203	75.2285951787199 %	1249	77.662129703763 %
0.7<BS<=0.8	727	74.1403026134801 %	842	76.7220902612827 %	873	79.7250859106529 %	1044	83.7164750957854 %	1241	84.9315068493151 %
0.8<BS<=0.9	573	81.6753926701571 %	711	84.5288326300984 %	816	89.7058823529412 %	904	90.7079646017699 %	1180	91.864406779661 %
0.9<BS<=1	475	92.4210526315789 %	748	93.716577540107 %	747	94.7791164658635 %	1007	96.5243296921549 %	1668	97.1822541966427 %
