swap_species	2	3	4	5	6	7	8	9	10	15
1	0.119 ± 0.086	0.115 ± 0.082	0.113 ± 0.084	0.11 ± 0.084	0.114 ± 0.089	0.115 ± 0.086	0.111 ± 0.082	0.112 ± 0.082	0.114 ± 0.083	NA
2	0.115 ± 0.085	0.109 ± 0.081	0.109 ± 0.08	0.113 ± 0.083	0.116 ± 0.084	0.112 ± 0.089	0.115 ± 0.083	0.116 ± 0.088	0.113 ± 0.081	NA
3	0.117 ± 0.087	0.113 ± 0.087	0.111 ± 0.082	0.112 ± 0.085	0.117 ± 0.089	0.113 ± 0.086	0.116 ± 0.083	0.117 ± 0.086	0.114 ± 0.091	NA
4	0.113 ± 0.085	0.114 ± 0.083	0.113 ± 0.082	0.111 ± 0.088	0.115 ± 0.081	0.121 ± 0.09	0.121 ± 0.088	0.117 ± 0.09	0.115 ± 0.086	NA
5	0.112 ± 0.082	0.115 ± 0.084	0.113 ± 0.081	0.113 ± 0.078	0.115 ± 0.084	0.109 ± 0.082	0.113 ± 0.083	0.117 ± 0.085	0.108 ± 0.079	NA
6	0.115 ± 0.086	0.114 ± 0.082	0.113 ± 0.088	0.112 ± 0.081	0.115 ± 0.085	0.112 ± 0.082	0.111 ± 0.087	0.113 ± 0.09	0.105 ± 0.08	NA
7	0.111 ± 0.088	0.112 ± 0.079	0.116 ± 0.084	0.115 ± 0.082	0.111 ± 0.078	0.113 ± 0.088	0.117 ± 0.088	0.112 ± 0.087	0.111 ± 0.087	NA
8	0.113 ± 0.087	0.115 ± 0.085	0.108 ± 0.08	0.11 ± 0.079	0.113 ± 0.082	0.109 ± 0.078	0.112 ± 0.083	0.111 ± 0.086	0.121 ± 0.089	NA
9	0.112 ± 0.086	0.114 ± 0.086	0.116 ± 0.089	0.115 ± 0.089	0.113 ± 0.084	0.114 ± 0.084	0.116 ± 0.088	0.122 ± 0.09	0.124 ± 0.087	NA
10	0.114 ± 0.083	0.11 ± 0.086	0.118 ± 0.081	0.112 ± 0.086	0.118 ± 0.086	0.113 ± 0.089	0.118 ± 0.081	0.116 ± 0.091	0.131 ± 0.1	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.404 ± 0.165	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.975 ± 0.045
