swap_species	2	3	4	5	6	7	8	9	10	15
1	0.143 ± 0.103	0.144 ± 0.102	0.155 ± 0.105	0.148 ± 0.1	0.15 ± 0.108	0.143 ± 0.105	0.148 ± 0.112	0.153 ± 0.106	0.141 ± 0.104	NA
2	0.148 ± 0.104	0.147 ± 0.104	0.153 ± 0.105	0.141 ± 0.099	0.154 ± 0.099	0.154 ± 0.11	0.149 ± 0.11	0.152 ± 0.103	0.148 ± 0.105	NA
3	0.147 ± 0.109	0.153 ± 0.106	0.16 ± 0.112	0.147 ± 0.103	0.152 ± 0.105	0.143 ± 0.1	0.142 ± 0.102	0.146 ± 0.112	0.153 ± 0.107	NA
4	0.154 ± 0.111	0.148 ± 0.105	0.141 ± 0.1	0.138 ± 0.103	0.15 ± 0.109	0.144 ± 0.104	0.143 ± 0.109	0.15 ± 0.103	0.155 ± 0.112	NA
5	0.146 ± 0.105	0.151 ± 0.106	0.152 ± 0.096	0.147 ± 0.103	0.146 ± 0.1	0.152 ± 0.111	0.148 ± 0.105	0.145 ± 0.101	0.156 ± 0.094	NA
6	0.158 ± 0.113	0.136 ± 0.095	0.156 ± 0.108	0.147 ± 0.105	0.147 ± 0.105	0.147 ± 0.104	0.148 ± 0.1	0.175 ± 0.108	0.152 ± 0.108	NA
7	0.143 ± 0.105	0.161 ± 0.107	0.151 ± 0.1	0.151 ± 0.101	0.155 ± 0.109	0.148 ± 0.106	0.168 ± 0.111	0.148 ± 0.102	0.154 ± 0.104	NA
8	0.152 ± 0.102	0.148 ± 0.108	0.158 ± 0.104	0.15 ± 0.108	0.148 ± 0.106	0.147 ± 0.107	0.159 ± 0.121	0.15 ± 0.11	0.155 ± 0.116	NA
9	0.152 ± 0.099	0.157 ± 0.104	0.153 ± 0.104	0.161 ± 0.11	0.154 ± 0.107	0.158 ± 0.109	0.16 ± 0.111	0.156 ± 0.103	0.156 ± 0.112	NA
10	0.158 ± 0.11	0.152 ± 0.099	0.151 ± 0.109	0.162 ± 0.11	0.155 ± 0.109	0.158 ± 0.113	0.141 ± 0.098	0.159 ± 0.113	0.163 ± 0.121	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.413 ± 0.167	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.973 ± 0.049
