swap_species	2	3	4	5	6	7	8	9	10	15
1	0.356 ± 0.161	0.353 ± 0.163	0.349 ± 0.16	0.35 ± 0.161	0.352 ± 0.16	0.353 ± 0.159	0.348 ± 0.161	0.354 ± 0.163	0.349 ± 0.158	NA
2	0.351 ± 0.161	0.35 ± 0.163	0.349 ± 0.162	0.348 ± 0.158	0.354 ± 0.16	0.353 ± 0.158	0.352 ± 0.161	0.352 ± 0.159	0.354 ± 0.165	NA
3	0.352 ± 0.163	0.352 ± 0.16	0.356 ± 0.165	0.358 ± 0.159	0.356 ± 0.167	0.354 ± 0.157	0.35 ± 0.16	0.355 ± 0.161	0.348 ± 0.153	NA
4	0.354 ± 0.162	0.353 ± 0.158	0.353 ± 0.154	0.358 ± 0.158	0.352 ± 0.167	0.353 ± 0.166	0.351 ± 0.155	0.349 ± 0.163	0.353 ± 0.161	NA
5	0.354 ± 0.163	0.352 ± 0.158	0.356 ± 0.164	0.351 ± 0.164	0.35 ± 0.158	0.356 ± 0.168	0.353 ± 0.163	0.357 ± 0.159	0.355 ± 0.156	NA
6	0.358 ± 0.161	0.344 ± 0.149	0.351 ± 0.157	0.355 ± 0.162	0.357 ± 0.158	0.35 ± 0.158	0.358 ± 0.159	0.348 ± 0.162	0.349 ± 0.171	NA
7	0.357 ± 0.159	0.354 ± 0.163	0.352 ± 0.159	0.352 ± 0.16	0.353 ± 0.154	0.353 ± 0.166	0.355 ± 0.161	0.352 ± 0.162	0.358 ± 0.156	NA
8	0.354 ± 0.163	0.356 ± 0.165	0.354 ± 0.16	0.358 ± 0.163	0.343 ± 0.157	0.355 ± 0.163	0.344 ± 0.167	0.358 ± 0.153	0.348 ± 0.15	NA
9	0.349 ± 0.157	0.348 ± 0.16	0.357 ± 0.158	0.348 ± 0.156	0.353 ± 0.156	0.355 ± 0.161	0.356 ± 0.166	0.358 ± 0.16	0.351 ± 0.162	NA
10	0.348 ± 0.164	0.358 ± 0.163	0.351 ± 0.161	0.348 ± 0.151	0.349 ± 0.161	0.358 ± 0.156	0.362 ± 0.162	0.36 ± 0.151	0.37 ± 0.155	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.551 ± 0.166	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.976 ± 0.046
