"family_name"	"BigTree_ML"	"BigTree_ME"	"Supermatrix_ML"	"Supermatrix_ME"	"Supertree_ML"	"Supertree_ME"	"family_group"
"avg_branchlen_0.7_protein_family_096.sub"	363000	28000	37500	2480	98400	1904	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_097.sub"	355000	34800	44604	730	101100	2068	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_098.sub"	350000	37000	46533	621	95700	2359	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_099.sub"	301000	28900	39248	642	89600	2349	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_100.sub"	232000	28500	44400	2594	95500	2327	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_22th_and_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_001.sub"	226000	28000	24887	658	72100	1938	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_002.sub"	212000	28900	31299	621	77600	1886	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_003.sub"	211000	27800	28368	561	66200	2072	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_004.sub"	210000	27700	31566	649	78000	2114	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_005.sub"	264000	35500	33237	607	71200	2155	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_006.sub"	232000	33100	44897	680	81400	1751	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_007.sub"	225000	35900	22146	682	73500	2164	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_008.sub"	238000	34900	27644	627	63100	1893	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_009.sub"	201000	27600	39068	611	80200	2006	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_010.sub"	247000	32900	35323	694	94500	2240	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_011.sub"	301000	34700	23893	814	73200	2138	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_012.sub"	251000	27900	34639	710	74800	1713	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_013.sub"	187000	33500	30962	530	79600	2029	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_014.sub"	220000	30500	29565	636	74000	2222	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_015.sub"	188000	34200	33192	687	74300	2105	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_016.sub"	275000	33900	33630	610	73600	1930	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_017.sub"	186000	27800	33705	575	68800	2263	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_018.sub"	259000	32400	27886	756	74300	1977	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_019.sub"	168000	35600	28458	538	70100	2205	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_020.sub"	192000	38800	28995	613	70000	2048	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_021.sub"	183000	28500	22769	754	71600	2216	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_022.sub"	226000	35800	23996	580	71800	2025	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_023.sub"	214000	27600	27326	845	74400	1845	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_024.sub"	169000	27700	25828	609	64800	1879	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_025.sub"	196000	33900	25661	533	74000	1774	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_026.sub"	215000	28200	28843	630	72600	2006	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_027.sub"	202000	30200	21644	697	64500	2032	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_028.sub"	237000	35400	33269	641	75600	2281	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_029.sub"	245000	34200	24035	618	67800	1894	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_030.sub"	215000	33300	25506	587	73600	1992	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_031.sub"	215000	33700	27617	599	72300	1737	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_032.sub"	250000	33100	24172	652	69700	2067	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_033.sub"	244000	28600	25198	681	80200	2238	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_034.sub"	205000	34900	22341	714	66800	2137	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_035.sub"	202000	35300	28585	568	70300	1707	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_036.sub"	219000	33900	23072	690	77900	2040	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_037.sub"	208000	28400	30998	680	77500	2284	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_038.sub"	225000	33700	34408	579	72100	1952	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_039.sub"	216000	34000	25265	546	75400	2205	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_040.sub"	165000	30100	29431	701	77300	2222	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_041.sub"	251000	38300	29232	614	76500	2075	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_042.sub"	177000	33400	26262	576	66300	1934	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_043.sub"	193000	36900	23356	638	79200	2128	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_044.sub"	260000	32700	29626	607	74400	1994	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_045.sub"	246000	37500	29087	571	73700	1894	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_046.sub"	222000	28500	35693	576	79200	2388	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_047.sub"	194000	28400	23027	610	67400	2096	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_048.sub"	188000	28100	22936	709	67400	2225	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_049.sub"	250000	33500	30795	711	63300	2153	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_050.sub"	201000	28600	21205	644	71100	2125	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_051.sub"	267000	33700	26686	668	73600	2208	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_052.sub"	241000	34600	29171	552	62200	2273	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_053.sub"	291000	37400	34248	802	83700	2012	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_054.sub"	154000	28200	30070	653	69200	2192	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_055.sub"	256000	34600	22457	575	75100	1890	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_056.sub"	268000	33500	40086	768	74000	2135	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_057.sub"	291000	34900	38796	680	88000	2227	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_058.sub"	252000	36400	29410	747	66500	2193	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_059.sub"	250000	35100	23126	597	75200	1632	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_060.sub"	195000	35600	29582	645	71800	2111	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_061.sub"	296000	32600	27202	682	73100	2187	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_062.sub"	167000	27900	27194	665	78800	2154	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_063.sub"	246000	33300	32289	570	70000	1924	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_064.sub"	225000	33400	28614	684	68300	2029	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_065.sub"	232000	34100	21932	644	78500	2188	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_066.sub"	224000	33000	20606	655	71600	2321	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_067.sub"	207000	35100	28175	758	72800	2117	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_068.sub"	235000	35100	22089	570	80600	1998	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_069.sub"	214000	35000	26281	563	67800	2119	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_070.sub"	297000	28700	35386	668	70900	1663	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_071.sub"	273000	34100	31742	624	75900	1912	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_072.sub"	2e+05	27700	27328	699	77700	2308	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_073.sub"	227000	33500	31346	616	64500	2072	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_074.sub"	236000	34700	27687	608	68100	2031	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_075.sub"	212000	36400	26780	551	72300	2059	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_076.sub"	217000	33400	29624	537	82100	2182	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_077.sub"	195000	34300	32932	651	74600	2347	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_078.sub"	224000	33100	18183	853	74100	1931	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_079.sub"	216000	33500	23001	708	77100	1805	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_080.sub"	264000	36700	24888	571	71000	2094	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_081.sub"	299000	33500	29050	731	73700	1932	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_082.sub"	309000	34400	28481	610	70700	1754	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_083.sub"	261000	32900	25920	601	63100	2140	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_084.sub"	217000	34200	29422	691	71000	2119	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_085.sub"	256000	33500	25735	618	62600	1800	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_086.sub"	245000	27600	34073	585	75900	2148	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_087.sub"	226000	33800	22671	741	69100	2037	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_088.sub"	235000	34800	29966	736	77200	2154	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_089.sub"	153000	32300	29216	657	72400	1970	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_090.sub"	201000	34100	27484	767	74300	2122	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_091.sub"	282000	34700	29336	661	61600	2274	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_092.sub"	222000	34400	38284	653	88000	2146	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_093.sub"	225000	34500	30441	758	74900	2111	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_094.sub"	225000	27600	27132	700	66400	1912	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_095.sub"	257000	28000	34283	580	69800	1963	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_096.sub"	269000	35000	38196	578	70000	2154	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_097.sub"	3e+05	28400	23593	575	71900	2090	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_098.sub"	297000	34400	37101	616	75400	2241	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_099.sub"	189000	34000	48316	797	75900	2196	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
"avg_branchlen_0.7_protein_family_100.sub"	238000	28900	29558	614	69600	2062	"rerun_sim_b_factor_3.5_avg_branchlen_0.7_from_23th_50_fams_25_species"
