method family species unit sample rf_val
SM_ML PF00004 RAT 1 4 0.4375
SM_ML PF00004 RAT 1 5 0.8125
SM_ML PF00004 RAT 1 6 0.375
SM_ML PF00004 RAT 1 7 0.8125
SM_ML PF00004 RAT 1 8 0.375
SM_ML PF00004 RAT 1 9 0.6875
SM_ML PF00004 RAT 1 10 0.5625
SM_ML PF00004 RAT 2 1 0.4375
SM_ML PF00004 RAT 2 2 0.3125
SM_ML PF00004 RAT 2 3 0.3125
SM_ML PF00004 RAT 2 4 0.3125
SM_ML PF00004 RAT 2 5 0.4375
SM_ML PF00004 RAT 2 6 0.4375
SM_ML PF00004 RAT 2 7 0.3125
SM_ML PF00004 RAT 2 8 0.0625
SM_ML PF00004 RAT 2 9 0.5
SM_ML PF00004 RAT 2 10 0.125
SM_ML PF00004 RAT 3 1 0.0625
